gene,level
CREB3L4,91
MAFG,91
FOXA3,91
MLX,91
ECD,91
VEZF1,91
EHF,91
ABHD12B,91
ADD2,91
ANO10,91
ANO4,91
ANO9,91
ARHGEF33,91
ARL5C,91
B4GALT2,91
C3orf22,91
C8orf74,91
C9orf43,91
CDS1,91
CELA2B,91
CELA3A,91
CLDN22,91
CLDN24,91
CLPSL1,91
CR1L,91
CTRC,91
DHRS12,91
EIPR1,91
EMC6,91
FAM160A1,91
FAM163B,91
FAM189A1,91
FAM210B,91
FAXDC2,91
FBLN7,91
FBXO21,91
FSD2,91
GBGT1,91
GOLGA6L1,91
GPR89A,91
GRIFIN,91
HEPACAM,91
KCNMB4,91
KIAA1324,91
KIF9,91
LCE2A,91
LONRF1,91
MARCHF10,91
MARCHF4,91
MARCHF9,91
MFSD14B,91
MKRN2OS,91
MON1A,91
MOSPD2,91
MOSPD3,91
MYRFL,91
NAALAD2,91
OR5B12,91
OR8B4,91
PARM1,91
PPDPF,91
PPP5D1,91
PXMP2,91
RPP25L,91
SERPINE3,91
SHISAL2B,91
SLC16A10,91
SLC16A13,91
SLC16A5,91
SLC35E2A,91
SLC39A4,91
SLC4A2,91
SLC9C1,91
SMIM2,91
SYCN,91
SYNE4,91
TENT5B,91
TMCO5A,91
TMEM225,91
TTC23L,91
ZBTB8B,91
ZNF771,91
ABL1,92
NFATC2,92
MTA2,92
NEUROG3,92
HOXD13,92
NDN,92
PRDM2,92
HOXB7,92
RERE,92
CDX1,92
ISL2,92
ZNF446,92
ATF1,92
NFE2L3,92
MXD3,92
TSC22D1,92
ZNF417,92
MEIS3,92
EBF3,92
AKR1B15,92
C10orf105,92
CLRN2,92
EMILIN2,92
FAM92A,92
GPR26,92
KCNK17,92
LANCL3,92
MYADML2,92
PANK4,92
PPCS,92
SEBOX,92
SLC26A11,92
SLC35C2,92
ST3GAL2,92
TMEM45B,92
TMEM9B,92
UROC1,92
WDR44,92
